threshold,hours,cost_rt,return_pct,win_rate_pct,expectancy_pct,trades,max_dd_pct,sharpe
0.5,4-20,0.0003,15209.034660372248,52.65062857418623,0.36698681708303704,41443,-34.372236060263184,20.413805613761365
0.54,4-20,0.0003,15209.034660372248,52.65062857418623,0.36698681708303704,41443,-34.372236060263184,20.413805613761365
0.58,4-20,0.0003,15209.034660372248,52.65062857418623,0.36698681708303704,41443,-34.372236060263184,20.413805613761365
0.62,4-20,0.0003,15209.034660372248,52.65062857418623,0.36698681708303704,41443,-34.372236060263184,20.413805613761365
0.66,4-20,0.0003,15209.034660372248,52.65062857418623,0.36698681708303704,41443,-34.372236060263184,20.413805613761365
0.5,4-20,0.00042,14214.402660372263,52.44794054484473,0.34298681708303713,41443,-35.371292866107936,19.078794894236214
0.54,4-20,0.00042,14214.402660372263,52.44794054484473,0.34298681708303713,41443,-35.371292866107936,19.078794894236214
0.58,4-20,0.00042,14214.402660372263,52.44794054484473,0.34298681708303713,41443,-35.371292866107936,19.078794894236214
0.62,4-20,0.00042,14214.402660372263,52.44794054484473,0.34298681708303713,41443,-35.371292866107936,19.078794894236214
0.66,4-20,0.00042,14214.402660372263,52.44794054484473,0.34298681708303713,41443,-35.371292866107936,19.078794894236214
0.5,4-20,0.0006,12722.454660372345,52.13184373718119,0.30698681708303704,41443,-36.89531260550384,17.076278814948473
0.54,4-20,0.0006,12722.454660372345,52.13184373718119,0.30698681708303704,41443,-36.89531260550384,17.076278814948473
0.58,4-20,0.0006,12722.454660372345,52.13184373718119,0.30698681708303704,41443,-36.89531260550384,17.076278814948473
0.62,4-20,0.0006,12722.454660372345,52.13184373718119,0.30698681708303704,41443,-36.89531260550384,17.076278814948473
0.66,4-20,0.0006,12722.454660372345,52.13184373718119,0.30698681708303704,41443,-36.89531260550384,17.076278814948473
0.5,6-18,0.0003,11479.10713613223,52.646651560926486,0.3612508539820062,31776,-24.309995195852363,17.551378717011975
0.54,6-18,0.0003,11479.10713613223,52.646651560926486,0.3612508539820062,31776,-24.309995195852363,17.551378717011975
0.58,6-18,0.0003,11479.10713613223,52.646651560926486,0.3612508539820062,31776,-24.309995195852363,17.551378717011975
0.62,6-18,0.0003,11479.10713613223,52.646651560926486,0.3612508539820062,31776,-24.309995195852363,17.551378717011975
0.66,6-18,0.0003,11479.10713613223,52.646651560926486,0.3612508539820062,31776,-24.309995195852363,17.551378717011975
0.5,6-18,0.00042,10716.48313613222,52.43580060422961,0.3372508539820063,31776,-25.122138232985257,16.38533831997179
0.54,6-18,0.00042,10716.48313613222,52.43580060422961,0.3372508539820063,31776,-25.122138232985257,16.38533831997179
0.58,6-18,0.00042,10716.48313613222,52.43580060422961,0.3372508539820063,31776,-25.122138232985257,16.38533831997179
0.62,6-18,0.00042,10716.48313613222,52.43580060422961,0.3372508539820063,31776,-25.122138232985257,16.38533831997179
0.66,6-18,0.00042,10716.48313613222,52.43580060422961,0.3372508539820063,31776,-25.122138232985257,16.38533831997179
0.5,6-18,0.0006,9572.547136132267,52.12739174219537,0.3012508539820062,31776,-26.35779060680632,14.636277724411492
0.54,6-18,0.0006,9572.547136132267,52.12739174219537,0.3012508539820062,31776,-26.35779060680632,14.636277724411492
0.58,6-18,0.0006,9572.547136132267,52.12739174219537,0.3012508539820062,31776,-26.35779060680632,14.636277724411492
0.62,6-18,0.0006,9572.547136132267,52.12739174219537,0.3012508539820062,31776,-26.35779060680632,14.636277724411492
0.66,6-18,0.0006,9572.547136132267,52.12739174219537,0.3012508539820062,31776,-26.35779060680632,14.636277724411492
0.5,8-16,0.0003,7957.768629056586,52.88055568166341,0.36127337490609357,22027,-26.41250520820503,14.61040519760541
0.54,8-16,0.0003,7957.768629056586,52.88055568166341,0.36127337490609357,22027,-26.41250520820503,14.61040519760541
0.58,8-16,0.0003,7957.768629056586,52.88055568166341,0.36127337490609357,22027,-26.41250520820503,14.61040519760541
0.62,8-16,0.0003,7957.768629056586,52.88055568166341,0.36127337490609357,22027,-26.41250520820503,14.61040519760541
0.66,8-16,0.0003,7957.768629056586,52.88055568166341,0.36127337490609357,22027,-26.41250520820503,14.61040519760541
0.5,8-16,0.00042,7429.120629056503,52.69896036682253,0.3372733749060936,22027,-28.199320280090923,13.639811322998199
0.54,8-16,0.00042,7429.120629056503,52.69896036682253,0.3372733749060936,22027,-28.199320280090923,13.639811322998199
0.58,8-16,0.00042,7429.120629056503,52.69896036682253,0.3372733749060936,22027,-28.199320280090923,13.639811322998199
0.62,8-16,0.00042,7429.120629056503,52.69896036682253,0.3372733749060936,22027,-28.199320280090923,13.639811322998199
0.66,8-16,0.00042,7429.120629056503,52.69896036682253,0.3372733749060936,22027,-28.199320280090923,13.639811322998199
0.5,8-16,0.0006,6636.148629056572,52.39024833159305,0.3012733749060935,22027,-31.011827503408462,12.183920511087376
0.54,8-16,0.0006,6636.148629056572,52.39024833159305,0.3012733749060935,22027,-31.011827503408462,12.183920511087376
0.58,8-16,0.0006,6636.148629056572,52.39024833159305,0.3012733749060935,22027,-31.011827503408462,12.183920511087376
0.62,8-16,0.0006,6636.148629056572,52.39024833159305,0.3012733749060935,22027,-31.011827503408462,12.183920511087376
0.66,8-16,0.0006,6636.148629056572,52.39024833159305,0.3012733749060935,22027,-31.011827503408462,12.183920511087376
